Date,Rain
2013-05-04,1.0
2013-05-08,0.6
2013-05-10,1.0
2013-05-12,0.6
2013-05-15,1.6
2013-05-19,4.0
2013-05-20,3.8
2013-05-21,5.5
2013-05-22,6.7
2013-05-23,6.8
2013-05-24,8.8
2013-05-25,15.8
2013-05-26,14.2
2013-05-29,20.4
2013-06-01,12.2
2013-06-02,12.4
2013-06-06,8.4
2013-06-07,9.6
2013-06-08,4.8
2013-06-10,1.0
2013-06-16,11.8
2013-06-17,0.4
2013-06-22,12.6
2013-06-23,3.2
2013-06-25,5.2
2013-06-28,18.4
2013-07-01,0.8
2013-07-05,2.0
2013-07-07,8.2
2013-07-08,1.4
2013-07-10,3.6
2013-07-18,3.2
2013-07-19,23.0
2013-07-20,5.6
2013-07-23,12.4
2013-07-29,3.6
2013-08-01,9.4
2013-08-02,0.2
2013-08-03,1.4
2013-08-07,0.4
2013-08-09,6.0
2013-08-13,12.6
2013-08-14,2.8
2013-08-22,8.2
2013-08-25,5.2
2013-08-28,4.0
2013-08-30,17.8
2013-09-02,20.4
2013-09-04,0.2
2013-09-10,8.8
2013-09-11,9.4
2013-09-12,23.8
2013-09-13,3.6
2013-09-15,2.4
2013-09-16,9.6
2013-09-21,10.8
2013-09-22,7.0
2013-10-06,6.2
2013-10-14,3.4
2013-10-16,12.2
2013-10-17,4.6
2013-10-18,1.8
2013-10-19,6.4
2013-10-20,1.0
2013-10-21,0.2
2013-10-22,2.2
2013-10-27,0.6
2013-10-28,1.8
2013-10-31,22.4
2014-05-01,8.2
2014-05-02,0.6
2014-05-03,0.8
2014-05-04,19.4
2014-05-09,4.2
2014-05-10,4.4
2014-05-13,1.4
2014-05-16,29.8
2014-05-17,10.8
2014-05-22,1.0
2014-05-25,4.6
2014-05-26,3.6
2014-05-27,4.2
2014-05-28,0.6
2014-05-30,2.0
2014-06-03,22.0
2014-06-04,0.2
2014-06-05,0.6
2014-06-10,0.4
2014-06-11,10.4
2014-06-12,26.2
2014-06-13,41.4
2014-06-14,1.4
2014-06-17,23.4
2014-06-18,2.0
2014-06-24,40.0
2014-06-25,0.2
2014-07-03,0.6
2014-07-04,3.2
2014-07-07,10.0
2014-07-08,7.0
2014-07-13,11.0
2014-07-15,2.8
2014-07-17,0.2
2014-07-23,11.4
2014-07-26,0.2
2014-07-27,10.2
2014-07-28,9.8
2014-07-30,0.8
2014-07-31,12.8
2014-08-04,0.6
2014-08-05,1.6
2014-08-07,6.2
2014-08-12,2.2
2014-08-13,44.4
2014-08-15,5.2
2014-08-16,13.2
2014-08-26,0.4
2014-08-30,0.2
2014-08-31,11.2
2014-09-02,4.4
2014-09-04,0.4
2014-09-05,3.0
2014-09-06,5.0
2014-09-11,7.2
2014-09-13,19.0
2014-09-15,0.2
2014-09-16,0.4
2014-09-17,2.6
2014-09-18,0.2
2014-09-20,0.2
2014-09-21,6.2
2014-09-23,1.2
2014-10-04,23.6
2014-10-06,0.4
2014-10-07,4.0
2014-10-08,19.8
2014-10-09,0.8
2014-10-15,6.4
2014-10-16,7.6
2014-10-17,0.4
2014-10-18,1.4
2014-10-20,1.2
2014-10-21,3.0
2014-10-23,5.8
2014-10-24,1.0
2014-10-25,3.8
2014-10-26,0.8
2014-10-27,0.2
2014-10-28,6.2
2014-10-29,0.6
2015-05-04,1.6
2015-05-09,9.8
2015-05-10,1.4
2015-05-11,17.6
2015-05-18,9.4
2015-05-22,0.4
2015-05-25,24.8
2015-05-28,6.0
2015-05-30,4.2
2015-05-31,2.0
2015-06-01,2.8
2015-06-02,2.0
2015-06-05,8.6
2015-06-08,27.8
2015-06-09,8.8
2015-06-10,4.0
